name,full_name,private,fork,stargazers_count,forks_count,description,html_url
Alpha2Sdk,nikitakoselev/Alpha2Sdk,False,True,0,0,,https://github.com/nikitakoselev/Alpha2Sdk
Amass,nikitakoselev/Amass,False,True,0,0,In-depth Attack Surface Mapping and Asset Discovery,https://github.com/nikitakoselev/Amass
automation,nikitakoselev/automation,False,False,0,0,"automation stuff, mostly AI tools and prompts",https://github.com/nikitakoselev/automation
forem,nikitakoselev/forem,False,True,0,0,For empowering community 🌱,https://github.com/nikitakoselev/forem
fozzie-components,nikitakoselev/fozzie-components,False,True,0,0,,https://github.com/nikitakoselev/fozzie-components
freeCodeCamp,nikitakoselev/freeCodeCamp,False,True,0,0,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/nikitakoselev/freeCodeCamp
fullstack-hy2020.github.io,nikitakoselev/fullstack-hy2020.github.io,False,True,0,0,,https://github.com/nikitakoselev/fullstack-hy2020.github.io
fusion,nikitakoselev/fusion,False,True,0,1,🧬 Generate secure by default cloud infrastructure configuration with Go and Terraform.,https://github.com/nikitakoselev/fusion
gadfly-ai,nikitakoselev/gadfly-ai,False,False,3,0,a public repo for https://www.gadfly.ai/ related activities,https://github.com/nikitakoselev/gadfly-ai
Gamme2048-And-GameOfFifteen,nikitakoselev/Gamme2048-And-GameOfFifteen,False,True,0,0,Game 2048 and Game of Fifteen,https://github.com/nikitakoselev/Gamme2048-And-GameOfFifteen
generative,nikitakoselev/generative,False,True,0,0,,https://github.com/nikitakoselev/generative
github-readme-streak-stats,nikitakoselev/github-readme-streak-stats,False,True,0,0,"🔥 Stay motivated and show off your contribution streak! 🌟 Display your total contributions, current streak, and longest streak on your GitHub profile README",https://github.com/nikitakoselev/github-readme-streak-stats
github-repositories-cleanup,nikitakoselev/github-repositories-cleanup,False,False,0,0,,https://github.com/nikitakoselev/github-repositories-cleanup
github-workshop,nikitakoselev/github-workshop,False,True,0,0,Repositório usado no workshop de Git e GitHub,https://github.com/nikitakoselev/github-workshop
glide,nikitakoselev/glide,False,True,0,0,Package Management for Golang,https://github.com/nikitakoselev/glide
go,nikitakoselev/go,False,True,0,0,Exercism exercises in Go.,https://github.com/nikitakoselev/go
go-challenge,nikitakoselev/go-challenge,False,False,1,0,,https://github.com/nikitakoselev/go-challenge
go-form3,nikitakoselev/go-form3,False,True,1,0,go client library for the form3 api http://api-docs.form3.tech/,https://github.com/nikitakoselev/go-form3
gogradle,nikitakoselev/gogradle,False,True,0,0,A Gradle Plugin Providing Full Support for Go,https://github.com/nikitakoselev/gogradle
goju-ryu-karate-studies,nikitakoselev/goju-ryu-karate-studies,False,False,0,0,Project dedicated to the path of Goju Ryu karate,https://github.com/nikitakoselev/goju-ryu-karate-studies
